			org1 (Host/Predator)						org2 (Symbiont/Parasite/Prey)												
																					
Observation type	Taxonomic interaction 	Interaction	Accession org1	Taxonomic level 1: org1	Taxonomic level 2: org1	Taxonomic level 3: org1	Genus org1	Species org1	Accession org2	Taxonomic level 1: org2	Taxonomic level 2: org2	Taxonomic level 3: org2	Genus org2	Species org2	Reference 	Link	Database	Interaction_ID	Ecological interaction	Habitat	Source
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196906	Prokaryote	Firmicutes	Clostridia	Caldicellulosiryptor	NA	Farnelid 2010	10.3354/ame01440	MicroEcoSystems	ID_48	nitrogen fixation	Marine	Open ocean
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196907	Prokaryote	Firmicutes	Clostridia	Caldicellulosiryptor	NA	Farnelid 2010	10.3354/ame01440	MicroEcoSystems	ID_49	nitrogen fixation	Marine	Open ocean
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Amphisolenia	bidentata	NA	Prokaryote	Firmicutes	Clostridia	Caldicellulosiryptor	NA	Farnelid 2010	10.3354/ame01440	MicroEcoSystems	ID_50	nitrogen fixation	Marine	Open ocean
1	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Histioneis	miniscula	NA	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	MicroEcoSystems	ID_73	nitrogen fixation	Marine	Water samples (Northern end of the Gulf of Aqaba)
1	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Histioneis	schillern	NA	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	MicroEcoSystems	ID_74	nitrogen fixation	Marine	Water samples (Northern end of the Gulf of Aqaba)
1	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Histioneis	carinata	NA	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	MicroEcoSystems	ID_75	nitrogen fixation	Marine	Water samples (Northern end of the Gulf of Aqaba)
1	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Histioneis	regius	NA	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	MicroEcoSystems	ID_76	nitrogen fixation	Marine	Water samples (Northern end of the Gulf of Aqaba)
1	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Histioneis	biremis	NA	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	MicroEcoSystems	ID_77	nitrogen fixation	Marine	Water samples (Northern end of the Gulf of Aqaba)
1	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	quadratus	NA	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	MicroEcoSystems	ID_78	nitrogen fixation	Marine	Water samples (Northern end of the Gulf of Aqaba)
1	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	splendidus	NA	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	MicroEcoSystems	ID_79	nitrogen fixation	Marine	Water samples (Northern end of the Gulf of Aqaba)
